timestamp,open,high,low,close
2019-06-11,10.6511,10.6896,10.6399,10.6782
2019-06-10,10.6407,10.6651,10.6308,10.6532
2019-06-09,10.6493,10.6595,10.6298,10.6412
2019-06-07,10.6238,10.6626,10.6148,10.6440
2019-06-06,10.5974,10.6295,10.5875,10.6237
2019-06-05,10.6159,10.6366,10.5926,10.5977
2019-06-04,10.6189,10.6393,10.5984,10.6192
2019-06-03,10.6000,10.6296,10.5902,10.6189
2019-06-02,10.6060,10.6063,10.5852,10.6006
2019-05-31,10.6102,10.6643,10.5907,10.6050
2019-05-30,10.6340,10.6417,10.5965,10.6090
2019-05-29,10.7074,10.7259,10.6257,10.6340
2019-05-28,10.7218,10.7248,10.6709,10.7070
2019-05-27,10.6878,10.7346,10.6795,10.7216
2019-05-26,10.6868,10.6975,10.6750,10.6882
2019-05-24,10.7558,10.7578,10.6766,10.6894
2019-05-23,10.7379,10.7604,10.7285,10.7558
2019-05-22,10.7678,10.7777,10.7286,10.7388
2019-05-21,10.7955,10.8008,10.7635,10.7689
2019-05-20,10.7684,10.8003,10.7400,10.7949
2019-05-19,10.7572,10.7709,10.7398,10.7682
2019-05-17,10.7756,10.7885,10.7444,10.7556
2019-05-16,10.7564,10.7782,10.7364,10.7763
2019-05-15,10.7611,10.7832,10.7404,10.7563
2019-05-14,10.8154,10.8249,10.7474,10.7614
2019-05-13,10.8030,10.8498,10.8027,10.8161
2019-05-12,10.8117,10.8165,10.7894,10.8042
2019-05-10,10.8273,10.8456,10.7822,10.7986
2019-05-09,10.7573,10.8391,10.7480,10.8262
2019-05-08,10.7345,10.7654,10.7127,10.7576
2019-05-07,10.7172,10.7435,10.6843,10.7352
2019-05-06,10.7032,10.7404,10.6913,10.7178
2019-05-05,10.6850,10.7092,10.6811,10.7032
2019-05-03,10.6989,10.7142,10.6714,10.6779
2019-05-02,10.6809,10.7049,10.6637,10.6984
2019-05-01,10.6519,10.6945,10.6410,10.6813
2019-04-30,10.6356,10.6573,10.6195,10.6514
2019-04-29,10.6056,10.6414,10.5983,10.6355
2019-04-28,10.5941,10.6097,10.5865,10.6055
2019-04-26,10.6151,10.6243,10.5635,10.5858
2019-04-25,10.5202,10.6649,10.4964,10.6151
2019-04-24,10.5011,10.5306,10.4864,10.5201
2019-04-23,10.4686,10.5188,10.4685,10.5018
2019-04-22,10.4643,10.4878,10.4487,10.4694
2019-04-21,10.4676,10.4710,10.4449,10.4651
2019-04-19,10.4561,10.4733,10.4467,10.4733
2019-04-18,10.4436,10.5035,10.4377,10.4561
2019-04-17,10.4442,10.4584,10.4299,10.4447
2019-04-16,10.4758,10.4827,10.4310,10.4439
2019-04-15,10.4687,10.4797,10.4546,10.4757
2019-04-14,10.4742,10.4808,10.4656,10.4697
2019-04-12,10.4506,10.4953,10.4493,10.4704
2019-04-11,10.4416,10.4591,10.4145,10.4522
2019-04-10,10.4244,10.4494,10.4039,10.4420
2019-04-09,10.4295,10.4364,10.4090,10.4250
2019-04-08,10.4253,10.4460,10.4079,10.4300
2019-04-07,10.4238,10.4295,10.4115,10.4259
2019-04-05,10.4162,10.4345,10.4017,10.4243
2019-04-04,10.4086,10.4280,10.3927,10.4162
